Name;Type;City;Country;Latitude;Longitude;Capacity;Commodity
Aak Hull;Refinery;Hull;United Kingdom;53,744;-0,335;100,000 MT;Vegetable Oil
Aak Karlshamn;Crushing Plant, Refinery;Karlshamn;Sweden;56,167;14,85;150,000 MT;RSO
Aak Maasrefinery;Refinery;Rotterdam;Netherlands;51,9244;4,4777;40,000 MT;Vegetable Oil
Aceites Abril Ourense;Refinery;Ourense;Spain;42,342;-7,863;90,000 MT;SFO, OLIVE
Delta Wilmar Allseeds Yuzhny;Crushing Plant;Yuzhny;Ukraine;46,622;31,101;800,000 MT;SFO
Apical Jakarta;Refinery;Jakarta;Indonesia;-6,208;106,845;1,000,000 MT;Vegetable Oil
Apical Kalimantan;Refinery;Kalimantan;Indonesia;0,0;114,0;1,000,000 MT;Vegetable Oil
Apical Nanjing;Refinery;Nanjing;China;32,0603;118,796;500,000 MT;Vegetable Oil
Apical Padang;Refinery;Padang;Indonesia;-0,949;100,354;1,200,000 MT;Vegetable Oil
Apical Apical Sumatra (Crushing);Crushing Plant, Refinery;Sumatra;Indonesia;0,0;102,0;600,000 MT;Vegetable Oil
Adm Europoort Plant;Crushing Plant, Refinery;Rotterdam;Netherlands;51,9244;4,4777;1,000,000 MT;SBO
Adm Arras;Refinery;Arras;France;50,289;2,778;100,000 MT;Vegetable Oil
Adm Chornomorsk;Crushing Plant;Chornomorsk;Ukraine;46,3;30,654;500,000 MT;Vegetable Oil
Adm Czernin;Crushing Plant, Refinery;Czernin;Poland;54,282;19,173;150,000 MT;RSO
Adm Erith;Crushing Plant, Refinery;Erith;United Kingdom;51,481;0,175;385,000 MT;RSO
Adm Hamburg;Crushing Plant, Refinery;Hamburg;Germany;53,551;9,993;1,000,000 MT;SBO, RSO
Adm Mainz;Crushing Plant;Mainz;Germany;49,992;8,247;275,000 MT;Vegetable Oil
Adm Olomouc;Crushing Plant, Refinery;Olomouc;Czech Republic;49,594;17,25;120,000 MT;SBO, SFO, RSO
Adm Quincy, Il;Crushing Plant, Refinery;Quincy, Il;United States;39,935;-91,409;1,000,000 MT;SBO
Adm Spiritwood, Nd;Crushing Plant, Refinery;Spiritwood, Nd;United States;47,042;-98,716;1,500,000 MT;SBO
Baltic Oil Service Paldiski;Refinery;Paldiski;Estonia;59,352;24,053;50,000 MT;CPO
Broekelmann & Co Hamm;Crushing Plant;Hamm;Germany;51,677;7,815;200,000 MT;SBO, SFO, RSO
Bunge Mykolaiv;Crushing Plant;Mykolaiv;Ukraine;46,975;31,994;1,000,000 MT;Vegetable Oil
Bunge Dnipro;Crushing Plant, Refinery;Dnipro;Ukraine;48,464;35,046;600,000 MT;SFO
Bunge Altona, Mb;Crushing Plant, Refinery;Altona, Mb;Canada;49,104;-97,56;250,000 MT;Vegetable Oil
Bunge Bellevue, Oh;Crushing Plant, Refinery;Bellevue, Oh;United States;41,273;-82,842;100,000 MT;Vegetable Oil
Bunge Cairo, Il;Crushing Plant;Cairo, Il;United States;37,005;-89,176;120,000 MT;Vegetable Oil
Bunge Council Bluffs, Ia;Crushing Plant, Refinery;Council Bluffs, Ia;United States;41,261;-95,86;700,000 MT;Vegetable Oil
